Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
22 Jan 2021,ODS,KBP,PS56,0:54,UR-EMG,5:00 AM,5:15 AM,6:00 AM,Landed 6:08 AM
21 Jan 2021,KBP,ODS,PS55,0:47,UR-EMG,6:25 PM,6:31 PM,7:25 PM,Landed 7:18 PM
21 Jan 2021,AMS,KBP,PS102,2:29,UR-EMG,12:10 PM,12:22 PM,3:00 PM,Landed 2:51 PM
21 Jan 2021,KBP,AMS,PS101,2:53,UR-EMG,8:00 AM,8:06 AM,11:05 AM,Landed 10:59 AM
21 Jan 2021,ODS,KBP,PS56,0:58,UR-EMG,5:00 AM,5:25 AM,6:00 AM,Landed 6:23 AM
20 Jan 2021,KBP,ODS,PS55,0:44,UR-EMG,6:25 PM,6:42 PM,7:25 PM,Landed 7:26 PM
20 Jan 2021,AMS,KBP,PS102,2:24,UR-EMG,12:10 PM,12:35 PM,3:00 PM,Landed 2:59 PM
20 Jan 2021,KBP,AMS,PS101,2:55,UR-EMG,8:00 AM,8:19 AM,11:05 AM,Landed 11:14 AM
20 Jan 2021,ODS,KBP,PS56,0:55,UR-EMG,5:00 AM,5:17 AM,6:00 AM,Landed 6:13 AM
19 Jan 2021,KBP,ODS,PS55,0:43,UR-EMG,6:25 PM,6:33 PM,7:25 PM,Landed 7:17 PM
19 Jan 2021,ODS,KBP,PS56,0:49,UR-EMG,5:00 AM,5:35 AM,6:00 AM,Landed 6:24 AM
18 Jan 2021,KBP,ODS,PS55,0:50,UR-EMG,6:25 PM,6:38 PM,7:25 PM,Landed 7:28 PM
18 Jan 2021,MUC,KBP,PS416,2:04,UR-EMG,1:50 PM,1:56 PM,4:05 PM,Landed 4:01 PM
18 Jan 2021,KBP,MUC,PS415,2:03,UR-EMG,7:40 AM,8:15 AM,10:15 AM,Landed 10:18 AM
18 Jan 2021,TLV,KBP,PS778,2:54,UR-EMG,3:30 AM,3:48 AM,6:40 AM,Landed 6:42 AM
17 Jan 2021,ODS,TLV,PS787,2:31,UR-EMG,7:30 PM,8:19 PM,10:20 PM,Landed 10:50 PM
17 Jan 2021,KBP,ODS,PS55,0:56,UR-EMG,5:30 PM,5:55 PM,6:30 PM,Landed 6:51 PM
17 Jan 2021,ODS,KBP,PS56,0:49,UR-EMG,5:00 AM,5:09 AM,6:00 AM,Landed 5:58 AM
16 Jan 2021,KBP,ODS,PS55,1:00,UR-EMG,6:25 PM,7:04 PM,7:25 PM,Landed 8:04 PM
15 Jan 2021,AMS,KBP,PS102,2:33,UR-EMG,12:10 PM,12:59 PM,3:00 PM,Landed 3:32 PM
15 Jan 2021,KBP,AMS,PS101,2:40,UR-EMG,8:00 AM,8:35 AM,11:05 AM,Landed 11:15 AM
15 Jan 2021,ODS,KBP,PS56,0:52,UR-EMG,5:00 AM,5:23 AM,6:00 AM,Landed 6:15 AM
14 Jan 2021,KBP,ODS,PS55,0:50,UR-EMG,6:25 PM,9:06 PM,7:25 PM,Landed 9:56 PM
14 Jan 2021,LHR,KBP,PS118,3:03,UR-EMG,12:20 PM,12:25 PM,3:40 PM,Landed 3:28 PM
14 Jan 2021,KBP,LHR,PS117,3:07,UR-EMG,7:50 AM,8:00 AM,11:25 AM,Landed 11:07 AM
14 Jan 2021,ODS,KBP,PS56,0:41,UR-EMG,5:00 AM,5:19 AM,6:00 AM,Landed 5:59 AM
13 Jan 2021,KBP,ODS,PS55,0:49,UR-EMG,6:25 PM,6:46 PM,7:25 PM,Landed 7:34 PM
13 Jan 2021,ODS,KBP,PS56,0:53,UR-EMG,5:00 AM,6:08 AM,6:00 AM,Landed 7:01 AM
12 Jan 2021,KBP,ODS,PS55,0:56,UR-EMG,6:25 PM,6:29 PM,7:25 PM,Landed 7:26 PM
12 Jan 2021,ODS,KBP,PS56,0:54,UR-EMG,5:00 AM,5:07 AM,6:00 AM,Landed 6:01 AM
11 Jan 2021,KBP,ODS,PS55,0:53,UR-EMG,6:25 PM,6:33 PM,7:25 PM,Landed 7:26 PM
11 Jan 2021,IST,KBP,PS714,1:32,UR-EMG,1:30 PM,1:42 PM,3:30 PM,Landed 3:15 PM
11 Jan 2021,KBP,IST,PS713,1:47,UR-EMG,9:30 AM,9:31 AM,11:30 AM,Landed 11:17 AM
11 Jan 2021,TLV,KBP,PS778,3:07,UR-EMG,3:30 AM,3:52 AM,6:40 AM,Landed 6:59 AM
10 Jan 2021,KBP,TLV,PS777,2:51,UR-EMG,6:00 PM,6:14 PM,9:10 PM,Landed 9:05 PM
10 Jan 2021,TLV,KBP,PS776,3:11,UR-EMG,12:35 PM,12:22 PM,3:45 PM,Landed 3:33 PM
10 Jan 2021,KBP,TLV,PS775,2:45,UR-EMG,7:45 AM,7:55 AM,10:55 AM,Landed 10:39 AM
09 Jan 2021,MXP,KBP,PS312,2:12,UR-EMG,1:40 PM,1:57 PM,4:25 PM,Landed 4:10 PM
09 Jan 2021,KBP,MXP,PS311,2:55,UR-EMG,8:40 AM,8:58 AM,11:30 AM,Landed 11:53 AM
09 Jan 2021,ODS,KBP,PS56,0:46,UR-EMG,5:00 AM,5:26 AM,6:00 AM,Landed 6:12 AM
08 Jan 2021,KBP,ODS,PS55,1:00,UR-EMG,6:25 PM,6:49 PM,7:25 PM,Landed 7:49 PM
08 Jan 2021,LGW,KBP,PS112,2:55,UR-EMG,12:20 PM,12:25 PM,3:40 PM,Landed 3:20 PM
08 Jan 2021,KBP,LGW,PS111,3:08,UR-EMG,7:50 AM,7:59 AM,11:25 AM,Landed 11:07 AM
08 Jan 2021,ODS,KBP,PS56,0:53,UR-EMG,5:00 AM,5:09 AM,6:00 AM,Landed 6:02 AM
07 Jan 2021,KBP,ODS,PS55,0:54,UR-EMG,6:25 PM,6:39 PM,7:25 PM,Landed 7:34 PM
21 Dec 2020,MXP,KBP,PS312,2:33,UR-EMG,1:40 PM,1:49 PM,4:25 PM,Landed 4:22 PM
21 Dec 2020,KBP,MXP,PS311,2:26,UR-EMG,8:40 AM,8:49 AM,11:30 AM,Landed 11:15 AM
21 Dec 2020,ODS,KBP,PS56,0:50,UR-EMG,5:00 AM,5:07 AM,6:00 AM,Landed 5:58 AM
20 Dec 2020,TLV,ODS,PS788,2:26,UR-EMG,11:20 PM,11:30 PM,2:20 AM,Landed 1:56 AM
20 Dec 2020,ODS,TLV,PS787,2:13,UR-EMG,7:30 PM,7:44 PM,10:20 PM,Landed 9:56 PM
20 Dec 2020,KBP,ODS,PS55,0:48,UR-EMG,5:30 PM,5:32 PM,6:30 PM,Landed 6:20 PM
20 Dec 2020,LGW,KBP,PS112,3:05,UR-EMG,12:20 PM,12:42 PM,3:40 PM,Landed 3:47 PM
20 Dec 2020,KBP,LGW,PS111,3:09,UR-EMG,7:50 AM,8:12 AM,11:25 AM,Landed 11:22 AM
20 Dec 2020,ODS,KBP,PS56,0:51,UR-EMG,5:00 AM,5:08 AM,6:00 AM,Landed 5:58 AM
19 Dec 2020,KBP,ODS,PS55,0:51,UR-EMG,6:25 PM,6:45 PM,7:25 PM,Landed 7:36 PM
19 Dec 2020,LGW,KBP,PS112,3:00,UR-EMG,12:20 PM,12:33 PM,3:40 PM,Landed 3:33 PM
19 Dec 2020,KBP,LGW,PS111,3:07,UR-EMG,7:50 AM,8:01 AM,11:25 AM,Landed 11:07 AM
18 Dec 2020,LGW,KBP,PS112,2:57,UR-EMG,12:20 PM,12:47 PM,3:40 PM,Landed 3:44 PM
18 Dec 2020,KBP,LGW,PS111,3:13,UR-EMG,7:50 AM,8:02 AM,11:25 AM,Landed 11:15 AM
18 Dec 2020,ODS,KBP,PS56,0:47,UR-EMG,5:00 AM,5:09 AM,6:00 AM,Landed 5:56 AM
17 Dec 2020,KBP,ODS,PS55,0:48,UR-EMG,6:25 PM,6:32 PM,7:25 PM,Landed 7:20 PM
17 Dec 2020,ODS,KBP,PS56,0:52,UR-EMG,5:00 AM,5:08 AM,6:00 AM,Landed 6:00 AM
16 Dec 2020,KBP,ODS,PS55,0:44,UR-EMG,6:25 PM,6:30 PM,7:25 PM,Landed 7:14 PM
16 Dec 2020,TLV,KBP,PS776,3:09,UR-EMG,12:50 PM,1:24 PM,4:00 PM,Landed 4:33 PM
16 Dec 2020,ODS,TLV,PS787,2:15,UR-EMG,7:55 AM,7:59 AM,10:55 AM,Landed 10:14 AM
15 Dec 2020,TLV,ODS,PS788,2:22,UR-EMG,12:35 PM,1:35 PM,3:35 PM,Landed 3:57 PM
15 Dec 2020,KBP,TLV,PS775,2:59,UR-EMG,7:45 AM,8:24 AM,10:55 AM,Landed 11:22 AM
15 Dec 2020,ODS,KBP,PS56,0:52,UR-EMG,5:00 AM,5:06 AM,6:00 AM,Landed 5:59 AM
14 Dec 2020,KBP,ODS,PS55,0:56,UR-EMG,6:25 PM,7:09 PM,7:25 PM,Landed 8:04 PM
14 Dec 2020,AMS,KBP,PS102,2:21,UR-EMG,12:10 PM,1:07 PM,3:00 PM,Landed 3:28 PM
14 Dec 2020,KBP,AMS,PS101,2:53,UR-EMG,8:00 AM,8:51 AM,11:05 AM,Landed 11:44 AM
12 Dec 2020,ODS,KBP,PS56,0:53,UR-EMG,5:00 AM,5:03 AM,6:00 AM,Landed 5:56 AM
11 Dec 2020,KBP,ODS,PS55,0:49,UR-EMG,6:25 PM,6:53 PM,7:25 PM,Landed 7:42 PM
11 Dec 2020,MXP,KBP,PS312,2:34,UR-EMG,1:40 PM,2:15 PM,4:25 PM,Landed 4:49 PM
11 Dec 2020,KBP,MXP,PS311,2:30,UR-EMG,8:40 AM,8:55 AM,11:30 AM,Landed 11:24 AM
11 Dec 2020,ODS,KBP,PS56,0:51,UR-EMG,5:00 AM,6:29 AM,6:00 AM,Landed 7:20 AM
10 Dec 2020,KBP,ODS,PS55,0:47,UR-EMG,6:25 PM,4:39 AM,7:25 PM,Landed 5:26 AM
08 Dec 2020,AMS,KBP,PS102,2:37,UR-EMG,12:10 PM,12:25 PM,3:00 PM,Landed 3:02 PM
08 Dec 2020,KBP,AMS,PS101,2:31,UR-EMG,8:00 AM,8:15 AM,11:05 AM,Landed 10:46 AM
08 Dec 2020,ODS,KBP,PS56,0:52,UR-EMG,5:00 AM,5:08 AM,6:00 AM,Landed 6:00 AM
07 Dec 2020,KBP,ODS,PS55,0:47,UR-EMG,6:25 PM,8:03 PM,7:25 PM,Landed 8:50 PM
07 Dec 2020,TLV,KBP,PS778,3:02,UR-EMG,3:30 AM,3:44 AM,6:40 AM,Landed 6:46 AM
06 Dec 2020,KBP,TLV,PS777,2:45,UR-EMG,6:00 PM,6:20 PM,9:10 PM,Landed 9:04 PM
06 Dec 2020,ODS,KBP,PS56,0:56,UR-EMG,5:00 AM,5:08 AM,6:00 AM,Landed 6:03 AM
05 Dec 2020,KBP,ODS,PS55,0:44,UR-EMG,6:25 PM,6:42 PM,7:25 PM,Landed 7:27 PM
04 Dec 2020,MXP,KBP,PS312,2:17,UR-EMG,1:40 PM,3:36 PM,4:25 PM,Landed 5:54 PM
04 Dec 2020,KBP,MXP,PS311,2:48,UR-EMG,8:40 AM,9:05 AM,11:30 AM,Landed 11:53 AM
03 Dec 2020,KBP,ODS,PS55,-,UR-EMG,6:25 PM,9:29 PM,7:25 PM,Diverted to KBP
02 Dec 2020,MXP,KBP,PS312,2:25,UR-EMG,1:40 PM,2:18 PM,4:25 PM,Landed 4:42 PM
02 Dec 2020,KBP,MXP,PS311,2:49,UR-EMG,8:40 AM,9:11 AM,11:30 AM,Landed 12:00 PM
02 Dec 2020,ODS,KBP,PS56,0:45,UR-EMG,5:00 AM,5:12 AM,6:00 AM,Landed 5:58 AM
01 Dec 2020,KBP,ODS,PS55,0:52,UR-EMG,6:25 PM,7:45 PM,7:25 PM,Landed 8:37 PM
01 Dec 2020,TLV,KBP,PS778,2:53,UR-EMG,3:30 AM,3:37 AM,6:40 AM,Landed 6:30 AM
30 Nov 2020,KBP,TLV,PS777,2:54,UR-EMG,6:00 PM,6:12 PM,9:10 PM,Landed 9:06 PM
30 Nov 2020,AMS,KBP,PS102,2:20,UR-EMG,12:10 PM,12:25 PM,3:00 PM,Landed 2:45 PM
30 Nov 2020,KBP,AMS,PS101,2:47,UR-EMG,8:00 AM,8:10 AM,11:05 AM,Landed 10:56 AM
30 Nov 2020,ODS,KBP,PS56,0:42,UR-EMG,5:00 AM,5:10 AM,6:00 AM,Landed 5:52 AM
29 Nov 2020,TLV,ODS,PS788,2:15,UR-EMG,11:20 PM,11:33 PM,2:20 AM,Landed 1:48 AM
29 Nov 2020,ODS,TLV,PS787,2:28,UR-EMG,7:30 PM,7:45 PM,10:20 PM,Landed 10:13 PM
29 Nov 2020,KBP,ODS,PS55,0:59,UR-EMG,5:30 PM,5:37 PM,6:30 PM,Landed 6:36 PM
29 Nov 2020,VNO,KBP,PS3204,1:02,UR-EMG,6:00 AM,7:21 AM,7:30 AM,Landed 8:23 AM
27 Nov 2020,KBP,VNO,PS3203,1:09,UR-EMG,4:30 PM,4:32 PM,6:00 PM,Landed 5:40 PM
27 Nov 2020,TLV,KBP,PS778,2:54,UR-EMG,3:30 AM,3:47 AM,6:40 AM,Landed 6:41 AM
26 Nov 2020,KBP,TLV,PS777,2:44,UR-EMG,6:00 PM,6:15 PM,9:10 PM,Landed 8:59 PM
26 Nov 2020,TLV,KBP,PS778,2:56,UR-EMG,3:30 AM,3:44 AM,6:40 AM,Landed 6:39 AM
25 Nov 2020,KBP,TLV,PS777,2:47,UR-EMG,6:00 PM,6:14 PM,9:10 PM,Landed 9:01 PM
25 Nov 2020,VNO,KBP,PS3204,0:56,UR-EMG,6:00 AM,8:00 AM,7:30 AM,Landed 8:56 AM
23 Nov 2020,KBP,VNO,PS3203,1:11,UR-EMG,4:30 PM,5:55 PM,6:00 PM,Landed 7:06 PM
23 Nov 2020,ODS,KBP,PS56,0:56,UR-EMG,5:00 AM,5:03 AM,6:00 AM,Landed 5:59 AM
22 Nov 2020,TLV,ODS,PS788,2:27,UR-EMG,11:20 PM,11:19 PM,2:20 AM,Landed 1:46 AM
22 Nov 2020,ODS,TLV,PS787,2:14,UR-EMG,7:30 PM,7:34 PM,10:20 PM,Landed 9:48 PM
22 Nov 2020,KBP,ODS,PS55,0:44,UR-EMG,5:30 PM,5:32 PM,6:30 PM,Landed 6:16 PM
22 Nov 2020,AMS,KBP,PS102,2:10,UR-EMG,12:10 PM,12:19 PM,3:00 PM,Landed 2:29 PM
22 Nov 2020,KBP,AMS,PS101,2:58,UR-EMG,8:00 AM,8:06 AM,11:05 AM,Landed 11:04 AM
21 Nov 2020,ODS,KBP,PS56,0:49,UR-EMG,5:00 AM,5:08 AM,6:00 AM,Landed 5:57 AM
20 Nov 2020,IST,ODS,PS720,0:57,UR-EMG,10:55 PM,11:12 PM,12:30 AM,Landed 12:09 AM
20 Nov 2020,ODS,IST,PS719,1:06,UR-EMG,8:25 PM,8:56 PM,9:55 PM,Landed 10:03 PM
20 Nov 2020,KBP,ODS,PS55,0:54,UR-EMG,6:25 PM,6:56 PM,7:25 PM,Landed 7:51 PM
20 Nov 2020,MXP,KBP,PS312,2:22,UR-EMG,1:40 PM,1:53 PM,4:25 PM,Landed 4:14 PM
20 Nov 2020,KBP,MXP,PS311,2:47,UR-EMG,8:40 AM,8:47 AM,11:30 AM,Landed 11:34 AM
20 Nov 2020,TLV,KBP,PS778,3:02,UR-EMG,3:30 AM,3:43 AM,6:40 AM,Landed 6:45 AM
19 Nov 2020,KBP,TLV,PS777,2:54,UR-EMG,6:00 PM,6:37 PM,9:10 PM,Landed 9:30 PM
17 Nov 2020,TLV,KBP,PS782,3:05,UR-EMG,5:00 PM,4:59 PM,8:10 PM,Landed 8:03 PM
17 Nov 2020,ODS,TLV,PS787,2:28,UR-EMG,1:00 PM,1:12 PM,4:00 PM,Landed 3:40 PM
17 Nov 2020,TLV,ODS,PS788,2:26,UR-EMG,9:10 AM,9:35 AM,12:10 PM,Landed 12:01 PM
17 Nov 2020,KBP,TLV,PS781,2:49,UR-EMG,5:00 AM,5:06 AM,8:10 AM,Landed 7:54 AM
16 Nov 2020,ODS,KBP,PS56,0:48,UR-EMG,5:00 AM,5:05 AM,6:00 AM,Landed 5:53 AM
15 Nov 2020,KBP,ODS,PS55,0:46,UR-EMG,6:25 PM,6:50 PM,7:25 PM,Landed 7:36 PM
13 Nov 2020,IST,KBP,PS714,1:33,UR-EMG,1:40 PM,1:51 PM,3:40 PM,Landed 3:24 PM
13 Nov 2020,KBP,IST,PS713,1:44,UR-EMG,9:30 AM,9:39 AM,11:30 AM,Landed 11:23 AM
13 Nov 2020,ODS,KBP,PS56,0:57,UR-EMG,5:00 AM,5:13 AM,6:00 AM,Landed 6:10 AM
12 Nov 2020,KBP,ODS,PS55,0:45,UR-EMG,6:25 PM,6:47 PM,7:25 PM,Landed 7:31 PM
12 Nov 2020,IST,KBP,PS714,1:39,UR-EMG,1:30 PM,1:41 PM,3:30 PM,Landed 3:20 PM
12 Nov 2020,KBP,IST,PS713,1:38,UR-EMG,9:30 AM,9:43 AM,11:30 AM,Landed 11:21 AM
11 Nov 2020,IST,KBP,PS714,1:36,UR-EMG,1:30 PM,1:43 PM,3:30 PM,Landed 3:19 PM
11 Nov 2020,KBP,IST,PS713,1:39,UR-EMG,9:30 AM,9:37 AM,11:30 AM,Landed 11:16 AM
11 Nov 2020,TLV,KBP,PS778,2:59,UR-EMG,3:30 AM,3:41 AM,6:40 AM,Landed 6:40 AM
10 Nov 2020,KBP,TLV,PS777,2:53,UR-EMG,6:00 PM,6:15 PM,9:10 PM,Landed 9:07 PM
10 Nov 2020,IST,KBP,PS714,1:35,UR-EMG,1:30 PM,1:31 PM,3:30 PM,Landed 3:06 PM
10 Nov 2020,KBP,IST,PS713,1:41,UR-EMG,9:30 AM,9:41 AM,11:30 AM,Landed 11:22 AM
10 Nov 2020,ODS,KBP,PS56,0:47,UR-EMG,5:00 AM,5:12 AM,6:00 AM,Landed 5:59 AM
09 Nov 2020,KBP,ODS,PS55,0:47,UR-EMG,6:25 PM,6:38 PM,7:25 PM,Landed 7:25 PM
09 Nov 2020,MUC,KBP,PS416,1:53,UR-EMG,1:50 PM,1:54 PM,4:05 PM,Landed 3:47 PM
09 Nov 2020,KBP,MUC,PS415,2:12,UR-EMG,7:40 AM,7:48 AM,10:15 AM,Landed 10:00 AM
08 Nov 2020,TLV,KBP,PS782,2:48,UR-EMG,5:00 PM,5:11 PM,8:10 PM,Landed 7:58 PM
08 Nov 2020,ODS,TLV,PS787,2:19,UR-EMG,1:00 PM,1:18 PM,4:00 PM,Landed 3:36 PM
08 Nov 2020,TLV,ODS,PS788,2:17,UR-EMG,9:10 AM,9:57 AM,12:10 PM,Landed 12:13 PM
08 Nov 2020,KBP,TLV,PS781,2:54,UR-EMG,5:00 AM,5:47 AM,8:10 AM,Landed 8:41 AM
07 Nov 2020,ODS,KBP,PS56,0:52,UR-EMG,5:00 AM,5:07 AM,6:00 AM,Landed 6:00 AM
06 Nov 2020,KBP,ODS,PS55,0:49,UR-EMG,6:25 PM,6:35 PM,7:25 PM,Landed 7:24 PM
06 Nov 2020,MXP,KBP,PS312,2:34,UR-EMG,1:40 PM,1:56 PM,4:25 PM,Landed 4:29 PM
06 Nov 2020,KBP,MXP,PS311,2:15,UR-EMG,8:40 AM,8:51 AM,11:30 AM,Landed 11:06 AM
06 Nov 2020,TLV,KBP,PS778,2:54,UR-EMG,3:30 AM,3:37 AM,6:40 AM,Landed 6:31 AM
05 Nov 2020,KBP,TLV,PS777,2:40,UR-EMG,6:00 PM,6:21 PM,9:10 PM,Landed 9:01 PM
05 Nov 2020,LWO,KBP,PS34,0:55,UR-EMG,5:00 AM,5:02 AM,6:10 AM,Landed 5:58 AM
04 Nov 2020,KBP,LWO,PS33,1:01,UR-EMG,6:30 PM,6:36 PM,7:35 PM,Landed 7:36 PM
04 Nov 2020,TLV,KBP,PS778,3:03,UR-EMG,3:30 AM,3:38 AM,6:40 AM,Landed 6:41 AM
03 Nov 2020,KBP,TLV,PS777,2:38,UR-EMG,6:00 PM,6:25 PM,9:10 PM,Landed 9:03 PM
03 Nov 2020,TLV,KBP,PS778,3:08,UR-EMG,3:30 AM,3:39 AM,6:40 AM,Landed 6:47 AM
02 Nov 2020,KBP,TLV,PS777,2:48,UR-EMG,6:00 PM,6:12 PM,9:10 PM,Landed 8:59 PM
01 Nov 2020,HRK,KBP,PS24,0:47,UR-EMG,5:05 AM,5:03 AM,6:05 AM,Landed 5:50 AM
31 Oct 2020,KBP,HRK,PS23,0:47,UR-EMG,6:15 PM,6:22 PM,7:15 PM,Landed 7:09 PM
30 Oct 2020,AMS,KBP,PS102,2:19,UR-EMG,12:10 PM,12:21 PM,3:00 PM,Landed 2:40 PM
30 Oct 2020,KBP,AMS,PS101,2:49,UR-EMG,8:00 AM,8:14 AM,11:05 AM,Landed 11:03 AM
30 Oct 2020,IST,KBP,PS716,1:25,UR-EMG,3:55 AM,3:58 AM,6:00 AM,Landed 5:24 AM
29 Oct 2020,ODS,IST,PS719,1:10,UR-EMG,11:00 PM,11:04 PM,12:30 AM,Landed 12:15 AM
28 Oct 2020,IST,ODS,PS720,0:55,UR-EMG,8:30 PM,8:39 PM,10:05 PM,Landed 9:34 PM
28 Oct 2020,KBP,IST,PS715,1:42,UR-EMG,5:30 PM,5:41 PM,7:30 PM,Landed 7:23 PM
28 Oct 2020,MXP,KBP,PS312,2:25,UR-EMG,1:40 PM,2:01 PM,4:25 PM,Landed 4:26 PM
28 Oct 2020,KBP,MXP,PS311,2:32,UR-EMG,8:40 AM,8:52 AM,11:30 AM,Landed 11:24 AM
27 Oct 2020,TLV,KBP,PS782,2:54,UR-EMG,5:00 PM,4:54 PM,8:10 PM,Landed 7:47 PM
27 Oct 2020,ODS,TLV,PS787,2:20,UR-EMG,1:00 PM,1:06 PM,4:00 PM,Landed 3:26 PM
27 Oct 2020,TLV,ODS,PS788,2:26,UR-EMG,9:10 AM,9:12 AM,12:10 PM,Landed 11:39 AM
27 Oct 2020,KBP,TLV,PS781,2:55,UR-EMG,5:00 AM,5:03 AM,8:10 AM,Landed 7:58 AM
26 Oct 2020,HRK,KBP,PS24,0:44,UR-EMG,5:05 AM,5:13 AM,6:05 AM,Landed 5:58 AM
25 Oct 2020,TLV,HRK,PS794,2:52,UR-EMG,11:20 PM,11:36 PM,2:45 AM,Landed 2:28 AM
25 Oct 2020,HRK,TLV,PS793,2:57,UR-EMG,7:20 PM,7:30 PM,10:30 PM,Landed 10:27 PM
25 Oct 2020,KBP,HRK,PS23,0:41,UR-EMG,5:30 PM,5:37 PM,6:30 PM,Landed 6:18 PM
24 Oct 2020,HRK,KBP,PS24,0:49,UR-EMG,4:00 AM,4:05 AM,5:00 AM,Landed 4:54 AM
23 Oct 2020,KBP,HRK,PS23,0:36,UR-EMG,5:25 PM,5:32 PM,6:25 PM,Landed 6:08 PM
22 Oct 2020,ODS,KBP,PS56,0:57,UR-EMG,4:00 AM,4:05 AM,5:00 AM,Landed 5:01 AM
21 Oct 2020,IST,ODS,PS720,1:04,UR-EMG,10:10 PM,10:19 PM,11:45 PM,Landed 11:23 PM
21 Oct 2020,ODS,IST,PS719,1:06,UR-EMG,7:35 PM,7:40 PM,9:10 PM,Landed 8:45 PM
21 Oct 2020,KBP,ODS,PS55,0:45,UR-EMG,5:35 PM,5:44 PM,6:35 PM,Landed 6:29 PM
19 Oct 2020,CDG,KBP,PS128,2:37,UR-EMG,12:00 PM,12:19 PM,3:05 PM,Landed 2:55 PM
19 Oct 2020,KBP,CDG,PS127,3:09,UR-EMG,6:55 AM,6:59 AM,10:20 AM,Landed 10:08 AM
14 Oct 2020,BFS,KBP,PS3752,3:40,UR-EMG,12:05 AM,12:14 AM,3:45 AM,Landed 3:54 AM
12 Oct 2020,KBP,BFS,PS3751,3:45,UR-EMG,7:00 AM,7:05 AM,11:00 AM,Landed 10:50 AM
09 Oct 2020,AMS,KBP,PS102,2:19,UR-EMG,11:15 AM,11:26 AM,2:05 PM,Landed 1:45 PM
09 Oct 2020,KBP,AMS,PS101,2:48,UR-EMG,6:50 AM,6:59 AM,9:55 AM,Landed 9:48 AM
09 Oct 2020,LWO,KBP,PS34,0:51,UR-EMG,4:00 AM,4:01 AM,5:10 AM,Landed 4:52 AM
08 Oct 2020,KBP,LWO,PS33,0:51,UR-EMG,5:30 PM,6:06 PM,6:35 PM,Landed 6:58 PM
07 Oct 2020,ODS,KBP,PS56,0:53,UR-EMG,4:00 AM,4:04 AM,5:05 AM,Landed 4:56 AM
06 Oct 2020,KBP,ODS,PS55,0:53,UR-EMG,5:35 PM,5:39 PM,6:35 PM,Landed 6:31 PM
06 Oct 2020,TLV,KBP,PS778,3:02,UR-EMG,2:30 AM,2:42 AM,5:40 AM,Landed 5:44 AM
05 Oct 2020,KBP,TLV,PS777,2:47,UR-EMG,5:00 PM,5:13 PM,8:10 PM,Landed 7:59 PM
05 Oct 2020,LGW,KBP,PS112,2:58,UR-EMG,11:20 AM,11:32 AM,2:40 PM,Landed 2:31 PM
05 Oct 2020,KBP,LGW,PS111,3:02,UR-EMG,6:50 AM,7:25 AM,10:25 AM,Landed 10:27 AM
05 Oct 2020,KHE,KBP,PS46,0:49,UR-EMG,3:40 AM,3:52 AM,4:40 AM,Landed 4:41 AM
02 Oct 2020,KBP,KHE,PS45,0:47,UR-EMG,5:05 PM,5:14 PM,6:10 PM,Landed 6:01 PM
02 Oct 2020,CDG,KBP,PS128,2:37,UR-EMG,12:00 PM,12:11 PM,3:05 PM,Landed 2:48 PM
02 Oct 2020,KBP,CDG,PS127,3:11,UR-EMG,6:55 AM,7:05 AM,10:20 AM,Landed 10:16 AM
02 Oct 2020,ODS,KBP,PS56,0:49,UR-EMG,4:00 AM,4:09 AM,5:05 AM,Landed 4:58 AM
01 Oct 2020,TLV,ODS,PS788,2:14,UR-EMG,10:15 PM,10:35 PM,1:00 AM,Landed 12:49 AM
01 Oct 2020,ODS,TLV,PS787,2:22,UR-EMG,6:30 PM,7:04 PM,9:15 PM,Landed 9:26 PM
01 Oct 2020,KBP,ODS,PS55,0:49,UR-EMG,4:35 PM,4:38 PM,5:35 PM,Landed 5:27 PM
01 Oct 2020,KIV,KBP,PS1198,0:46,UR-EMG,12:40 PM,11:55 AM,â€”,Landed 12:40 PM
01 Oct 2020,KBP,KIV,PS1197,0:48,UR-EMG,11:18 AM,10:30 AM,â€”,Landed 11:18 AM
01 Oct 2020,TLV,KBP,PS778,2:48,UR-EMG,2:30 AM,2:42 AM,5:40 AM,Landed 5:31 AM
30 Sep 2020,KBP,TLV,PS777,2:56,UR-EMG,5:00 PM,5:13 PM,8:10 PM,Landed 8:10 PM
30 Sep 2020,MXP,KBP,PS312,2:33,UR-EMG,11:40 AM,11:56 AM,2:20 PM,Landed 2:29 PM
30 Sep 2020,KBP,MXP,PS311,2:26,UR-EMG,7:15 AM,7:28 AM,10:05 AM,Landed 9:55 AM
30 Sep 2020,KHE,KBP,PS46,0:41,UR-EMG,3:40 AM,3:57 AM,4:40 AM,Landed 4:37 AM
29 Sep 2020,OST,KHE,PS3178,3:09,UR-EMG,5:50 PM,2:37 PM,â€”,Landed 5:46 PM
29 Sep 2020,KHE,OST,PS3177,3:02,UR-EMG,6:35 AM,6:35 AM,10:00 AM,Landed 9:37 AM
28 Sep 2020,KBP,KHE,PS45,0:49,UR-EMG,5:05 PM,5:13 PM,6:10 PM,Landed 6:03 PM
27 Sep 2020,AMS,KBP,PS102,2:53,UR-EMG,11:15 AM,11:37 AM,2:05 PM,Landed 2:29 PM
27 Sep 2020,KBP,AMS,PS101,2:24,UR-EMG,6:50 AM,6:57 AM,9:55 AM,Landed 9:22 AM
