Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
20 Sep 2018,MSQ,KBP,PS892,0:50,UR-GAT,1:00 PM,1:43 PM,2:05 PM,Landed 2:34 PM
20 Sep 2018,KBP,MSQ,PS889,0:43,UR-GAT,7:15 AM,7:37 AM,8:20 AM,Landed 8:20 AM
20 Sep 2018,RIX,KBP,PS188,1:10,UR-GAT,3:00 AM,3:16 AM,4:35 AM,Landed 4:26 AM
19 Sep 2018,KBP,RIX,PS187,1:19,UR-GAT,5:45 PM,6:06 PM,7:20 PM,Landed 7:25 PM
19 Sep 2018,VIE,KBP,PS846,1:38,UR-GAT,1:40 PM,2:00 PM,3:35 PM,Landed 3:37 PM
19 Sep 2018,KBP,VIE,PS845,1:39,UR-GAT,6:25 AM,6:46 AM,8:30 AM,Landed 8:25 AM
19 Sep 2018,RIX,KBP,PS188,1:16,UR-GAT,3:00 AM,3:09 AM,4:35 AM,Landed 4:25 AM
18 Sep 2018,KBP,RIX,PS187,1:32,UR-GAT,5:45 PM,6:00 PM,7:20 PM,Landed 7:33 PM
18 Sep 2018,HEL,KBP,PS152,1:38,UR-GAT,1:15 PM,1:49 PM,3:15 PM,Landed 3:26 PM
18 Sep 2018,KBP,HEL,PS151,1:58,UR-GAT,6:30 AM,6:36 AM,8:40 AM,Landed 8:35 AM
18 Sep 2018,RIX,KBP,PS188,1:12,UR-GAT,3:00 AM,3:10 AM,4:35 AM,Landed 4:22 AM
17 Sep 2018,KBP,RIX,PS187,1:26,UR-GAT,5:45 PM,6:02 PM,7:20 PM,Landed 7:28 PM
17 Sep 2018,HEL,KBP,PS152,1:44,UR-GAT,1:10 PM,1:34 PM,3:15 PM,Landed 3:18 PM
17 Sep 2018,KBP,HEL,PS151,1:50,UR-GAT,6:30 AM,6:49 AM,8:40 AM,Landed 8:39 AM
17 Sep 2018,RIX,KBP,PS188,1:13,UR-GAT,3:00 AM,3:17 AM,4:35 AM,Landed 4:30 AM
16 Sep 2018,KBP,RIX,PS187,1:37,UR-GAT,5:45 PM,6:00 PM,7:20 PM,Landed 7:36 PM
16 Sep 2018,HEL,KBP,PS152,1:31,UR-GAT,11:45 AM,12:06 PM,1:50 PM,Landed 1:37 PM
16 Sep 2018,KBP,HEL,PS151,1:43,UR-GAT,6:30 AM,6:52 AM,8:40 AM,Landed 8:36 AM
16 Sep 2018,RIX,KBP,PS188,1:18,UR-GAT,3:00 AM,3:06 AM,4:35 AM,Landed 4:24 AM
15 Sep 2018,KBP,RIX,PS187,1:23,UR-GAT,5:45 PM,5:55 PM,7:20 PM,Landed 7:18 PM
15 Sep 2018,MSQ,KBP,PS892,0:50,UR-GAT,1:00 PM,1:18 PM,2:05 PM,Landed 2:08 PM
15 Sep 2018,KBP,MSQ,PS889,0:48,UR-GAT,7:15 AM,7:38 AM,8:20 AM,Landed 8:26 AM
15 Sep 2018,RIX,KBP,PS188,1:21,UR-GAT,3:00 AM,3:10 AM,4:35 AM,Landed 4:31 AM
14 Sep 2018,KBP,RIX,PS187,1:33,UR-GAT,5:45 PM,6:01 PM,7:20 PM,Landed 7:34 PM
14 Sep 2018,RIX,KBP,PS188,1:13,UR-GAT,3:00 AM,3:04 AM,4:35 AM,Landed 4:17 AM
13 Sep 2018,KBP,RIX,PS187,1:34,UR-GAT,5:45 PM,6:04 PM,7:20 PM,Landed 7:38 PM
13 Sep 2018,LWO,KBP,PS36,0:51,UR-GAT,2:05 PM,2:24 PM,3:15 PM,Landed 3:15 PM
13 Sep 2018,KBP,LWO,PS35,0:49,UR-GAT,11:55 AM,12:32 PM,1:05 PM,Landed 1:21 PM
13 Sep 2018,RIX,KBP,PS186,1:18,UR-GAT,8:40 AM,9:01 AM,10:15 AM,Landed 10:19 AM
13 Sep 2018,KBP,RIX,PS185,1:26,UR-GAT,6:20 AM,6:35 AM,7:55 AM,Landed 8:00 AM
13 Sep 2018,ESB,KBP,(AUI),1:41,UR-GAT,3:32 AM,3:08 AM,â€”,Landed 4:49 AM
12 Sep 2018,KBP,ESB,(AUI),1:45,UR-GAT,5:55 PM,5:33 PM,â€”,Landed 7:17 PM
12 Sep 2018,ODS,KBP,PS58,0:55,UR-GAT,1:55 PM,1:48 PM,2:55 PM,Landed 2:42 PM
12 Sep 2018,IST,ODS,PS718,0:58,UR-GAT,11:15 AM,11:37 AM,12:45 PM,Landed 12:35 PM
12 Sep 2018,ODS,IST,PS717,1:02,UR-GAT,8:45 AM,9:14 AM,10:15 AM,Landed 10:16 AM
12 Sep 2018,KBP,ODS,PS57,0:44,UR-GAT,6:50 AM,7:12 AM,7:50 AM,Landed 7:56 AM
12 Sep 2018,MSQ,KBP,â€”,0:51,UR-GAT,4:20 AM,4:05 AM,â€”,Landed 4:56 AM
11 Sep 2018,KBP,MSQ,PS893,0:51,UR-GAT,4:40 PM,4:58 PM,5:45 PM,Landed 5:48 PM
11 Sep 2018,HEL,KBP,PS152,1:38,UR-GAT,1:15 PM,1:23 PM,3:15 PM,Landed 3:01 PM
11 Sep 2018,KBP,HEL,PS151,1:38,UR-GAT,6:30 AM,6:51 AM,8:40 AM,Landed 8:30 AM
11 Sep 2018,KRK,KBP,PS926,1:21,UR-GAT,3:30 AM,3:38 AM,5:05 AM,Landed 4:58 AM
10 Sep 2018,KBP,KRK,PS925,1:19,UR-GAT,5:45 PM,5:49 PM,7:20 PM,Landed 7:08 PM
10 Sep 2018,ODS,KBP,PS58,0:42,UR-GAT,1:55 PM,2:07 PM,2:55 PM,Landed 2:50 PM
10 Sep 2018,IST,ODS,PS718,1:00,UR-GAT,11:15 AM,11:24 AM,12:45 PM,Landed 12:23 PM
10 Sep 2018,ODS,IST,PS717,1:03,UR-GAT,8:45 AM,8:41 AM,10:15 AM,Landed 9:44 AM
10 Sep 2018,KBP,ODS,PS57,0:41,UR-GAT,6:50 AM,7:01 AM,7:50 AM,Landed 7:42 AM
10 Sep 2018,RIX,KBP,PS188,1:25,UR-GAT,3:00 AM,3:16 AM,4:35 AM,Landed 4:41 AM
09 Sep 2018,KBP,RIX,PS187,1:33,UR-GAT,5:45 PM,6:11 PM,7:20 PM,Landed 7:43 PM
09 Sep 2018,GVA,KBP,PS486,2:39,UR-GAT,11:45 AM,12:00 PM,2:30 PM,Landed 2:39 PM
09 Sep 2018,KBP,GVA,PS485,2:36,UR-GAT,7:45 AM,7:54 AM,10:45 AM,Landed 10:31 AM
09 Sep 2018,RIX,KBP,PS188,1:20,UR-GAT,3:00 AM,3:09 AM,4:35 AM,Landed 4:29 AM
08 Sep 2018,KBP,RIX,PS187,1:17,UR-GAT,7:25 PM,8:44 PM,9:05 PM,Landed 10:01 PM
08 Sep 2018,DLM,KBP,PS5314,2:13,UR-GAT,5:02 PM,5:02 PM,â€”,Landed 7:15 PM
08 Sep 2018,BJV,DLM,PS5308,0:27,UR-GAT,3:31 PM,3:31 PM,â€”,Landed 3:57 PM
08 Sep 2018,KBP,BJV,PS5307,2:15,UR-GAT,10:55 AM,12:15 PM,1:25 PM,Landed 2:31 PM
08 Sep 2018,NCE,KBP,PS136,2:34,UR-GAT,7:00 AM,7:30 AM,10:05 AM,Landed 10:04 AM
08 Sep 2018,KBP,NCE,PS135,2:56,UR-GAT,3:00 AM,3:25 AM,6:10 AM,Landed 6:21 AM
07 Sep 2018,ODS,KBP,PS58,0:50,UR-GAT,1:55 PM,2:14 PM,2:55 PM,Landed 3:04 PM
07 Sep 2018,IST,ODS,PS718,0:55,UR-GAT,11:15 AM,12:21 PM,12:45 PM,Landed 1:16 PM
07 Sep 2018,ODS,IST,PS717,1:10,UR-GAT,8:45 AM,9:33 AM,10:15 AM,Landed 10:44 AM
07 Sep 2018,KBP,ODS,PS57,0:54,UR-GAT,6:50 AM,7:12 AM,7:50 AM,Landed 8:06 AM
07 Sep 2018,KIV,KBP,PS898,0:46,UR-GAT,4:20 AM,4:31 AM,5:25 AM,Landed 5:17 AM
06 Sep 2018,KBP,KIV,PS897,0:46,UR-GAT,4:45 PM,5:03 PM,5:50 PM,Landed 5:49 PM
06 Sep 2018,EVN,KBP,PS614,2:35,UR-GAT,11:30 AM,12:07 PM,2:30 PM,Landed 2:41 PM
06 Sep 2018,KBP,EVN,PS613,2:48,UR-GAT,7:50 AM,8:21 AM,10:30 AM,Landed 11:09 AM
06 Sep 2018,RIX,KBP,PS188,1:26,UR-GAT,3:00 AM,3:19 AM,4:35 AM,Landed 4:46 AM
05 Sep 2018,KBP,RIX,PS187,1:17,UR-GAT,5:45 PM,6:08 PM,7:20 PM,Landed 7:25 PM
05 Sep 2018,DLM,KBP,PS5314,2:11,UR-GAT,10:54 AM,10:51 AM,â€”,Landed 1:02 PM
05 Sep 2018,BJV,DLM,PS5308,0:29,UR-GAT,9:23 AM,9:20 AM,9:50 AM,Landed 9:49 AM
05 Sep 2018,KBP,BJV,PS5307,2:20,UR-GAT,5:45 AM,5:53 AM,8:15 AM,Landed 8:13 AM
05 Sep 2018,RIX,KBP,PS188,1:24,UR-GAT,3:00 AM,3:19 AM,4:35 AM,Landed 4:43 AM
04 Sep 2018,KBP,RIX,PS187,1:30,UR-GAT,5:45 PM,5:56 PM,7:20 PM,Landed 7:26 PM
04 Sep 2018,HRK,KBP,PS26,0:42,UR-GAT,2:00 PM,2:04 PM,3:00 PM,Landed 2:46 PM
04 Sep 2018,KBP,HRK,PS25,0:42,UR-GAT,7:25 AM,7:42 AM,8:25 AM,Landed 8:24 AM
04 Sep 2018,KRK,KBP,PS926,1:20,UR-GAT,3:30 AM,3:49 AM,5:05 AM,Landed 5:09 AM
03 Sep 2018,KBP,KRK,PS925,1:19,UR-GAT,5:45 PM,6:23 PM,7:20 PM,Landed 7:42 PM
03 Sep 2018,CPH,KBP,PS162,2:00,UR-GAT,11:50 AM,12:39 PM,2:10 PM,Landed 2:39 PM
03 Sep 2018,KBP,CPH,PS161,2:02,UR-GAT,8:30 AM,8:46 AM,11:00 AM,Landed 10:48 AM
03 Sep 2018,RIX,KBP,PS188,1:20,UR-GAT,3:00 AM,3:18 AM,4:35 AM,Landed 4:38 AM
02 Sep 2018,KBP,RIX,PS187,1:17,UR-GAT,5:45 PM,6:27 PM,7:20 PM,Landed 7:44 PM
02 Sep 2018,RIX,KBP,PS186,1:17,UR-GAT,8:35 AM,8:44 AM,10:10 AM,Landed 10:01 AM
02 Sep 2018,KBP,RIX,PS185,1:21,UR-GAT,6:20 AM,6:32 AM,7:55 AM,Landed 7:52 AM
02 Sep 2018,CPH,KBP,PS164,2:03,UR-GAT,2:55 AM,3:11 AM,5:00 AM,Landed 5:15 AM
01 Sep 2018,KBP,CPH,PS163,2:00,UR-GAT,6:05 PM,6:15 PM,8:40 PM,Landed 8:15 PM
01 Sep 2018,ODS,KBP,PS58,0:51,UR-GAT,1:55 PM,2:01 PM,2:55 PM,Landed 2:52 PM
01 Sep 2018,IST,ODS,PS718,1:01,UR-GAT,11:15 AM,11:59 AM,12:45 PM,Landed 1:00 PM
01 Sep 2018,ODS,IST,PS717,1:15,UR-GAT,8:45 AM,9:08 AM,10:15 AM,Landed 10:23 AM
01 Sep 2018,KBP,ODS,PS57,0:51,UR-GAT,6:50 AM,7:10 AM,7:50 AM,Landed 8:01 AM
01 Sep 2018,RIX,KBP,PS188,1:26,UR-GAT,3:00 AM,3:25 AM,4:35 AM,Landed 4:52 AM
31 Aug 2018,KBP,RIX,PS187,1:22,UR-GAT,5:45 PM,6:10 PM,7:20 PM,Landed 7:31 PM
31 Aug 2018,ODS,KBP,PS58,0:53,UR-GAT,1:55 PM,3:00 PM,2:55 PM,Landed 3:53 PM
31 Aug 2018,IST,ODS,PS718,0:57,UR-GAT,11:15 AM,12:52 PM,12:45 PM,Landed 1:49 PM
31 Aug 2018,ODS,IST,PS717,1:33,UR-GAT,8:45 AM,9:33 AM,10:15 AM,Landed 11:06 AM
31 Aug 2018,KBP,ODS,PS57,0:50,UR-GAT,6:50 AM,7:16 AM,7:50 AM,Landed 8:06 AM
31 Aug 2018,ARN,KBP,PS174,1:55,UR-GAT,2:50 AM,3:07 AM,4:55 AM,Landed 5:01 AM
30 Aug 2018,KBP,ARN,PS173,1:55,UR-GAT,5:30 PM,6:37 PM,7:50 PM,Landed 8:31 PM
30 Aug 2018,HRK,KBP,PS26,0:48,UR-GAT,2:00 PM,2:07 PM,3:00 PM,Landed 2:55 PM
30 Aug 2018,KBP,HRK,PS25,0:38,UR-GAT,7:25 AM,7:28 AM,8:25 AM,Landed 8:06 AM
30 Aug 2018,ARN,KBP,PS174,1:56,UR-GAT,2:50 AM,2:57 AM,4:55 AM,Landed 4:54 AM
29 Aug 2018,KBP,ARN,PS173,2:00,UR-GAT,5:30 PM,5:52 PM,7:50 PM,Landed 7:51 PM
29 Aug 2018,HEL,KBP,PS152,1:46,UR-GAT,11:45 AM,12:23 PM,1:50 PM,Landed 2:09 PM
29 Aug 2018,KBP,HEL,PS151,1:43,UR-GAT,6:30 AM,6:50 AM,8:40 AM,Landed 8:32 AM
29 Aug 2018,MSQ,KBP,PS894,1:00,UR-GAT,4:00 AM,4:17 AM,5:05 AM,Landed 5:17 AM
28 Aug 2018,KBP,MSQ,PS893,0:41,UR-GAT,4:40 PM,5:24 PM,5:45 PM,Landed 6:05 PM
28 Aug 2018,ODS,KBP,PS58,0:47,UR-GAT,1:55 PM,2:13 PM,2:55 PM,Landed 3:00 PM
28 Aug 2018,IST,ODS,PS718,1:01,UR-GAT,11:15 AM,11:48 AM,12:45 PM,Landed 12:49 PM
28 Aug 2018,ODS,IST,PS717,1:29,UR-GAT,8:45 AM,9:11 AM,10:15 AM,Landed 10:40 AM
28 Aug 2018,KBP,ODS,PS57,0:55,UR-GAT,6:50 AM,7:16 AM,7:50 AM,Landed 8:12 AM
28 Aug 2018,RIX,KBP,PS188,1:24,UR-GAT,3:00 AM,3:13 AM,4:35 AM,Landed 4:36 AM
27 Aug 2018,KBP,RIX,PS187,1:27,UR-GAT,5:45 PM,6:05 PM,7:20 PM,Landed 7:32 PM
27 Aug 2018,ODS,KBP,PS58,0:52,UR-GAT,1:55 PM,1:56 PM,2:55 PM,Landed 2:48 PM
27 Aug 2018,IST,ODS,PS718,0:56,UR-GAT,11:15 AM,11:42 AM,12:45 PM,Landed 12:38 PM
27 Aug 2018,ODS,IST,PS717,1:05,UR-GAT,8:45 AM,9:02 AM,10:15 AM,Landed 10:07 AM
27 Aug 2018,KBP,ODS,PS57,0:41,UR-GAT,6:50 AM,7:17 AM,7:50 AM,Landed 7:57 AM
26 Aug 2018,ODS,KBP,PS58,0:51,UR-GAT,1:55 PM,2:08 PM,2:55 PM,Landed 2:59 PM
26 Aug 2018,IST,ODS,PS718,0:58,UR-GAT,11:15 AM,11:23 AM,12:45 PM,Landed 12:22 PM
26 Aug 2018,ODS,IST,PS717,1:03,UR-GAT,8:45 AM,9:02 AM,10:15 AM,Landed 10:05 AM
26 Aug 2018,KBP,ODS,PS57,0:55,UR-GAT,6:50 AM,7:04 AM,7:50 AM,Landed 7:59 AM
26 Aug 2018,MSQ,KBP,PS894,0:50,UR-GAT,4:00 AM,4:08 AM,5:05 AM,Landed 4:57 AM
25 Aug 2018,KBP,MSQ,PS893,0:45,UR-GAT,4:40 PM,4:59 PM,5:45 PM,Landed 5:44 PM
25 Aug 2018,HRK,KBP,PS26,0:42,UR-GAT,2:00 PM,2:07 PM,3:00 PM,Landed 2:48 PM
25 Aug 2018,KBP,HRK,PS25,0:41,UR-GAT,7:25 AM,7:40 AM,8:25 AM,Landed 8:21 AM
25 Aug 2018,RIX,KBP,PS188,1:19,UR-GAT,3:00 AM,3:10 AM,4:35 AM,Landed 4:29 AM
24 Aug 2018,KBP,RIX,PS187,1:31,UR-GAT,5:45 PM,6:21 PM,7:20 PM,Landed 7:52 PM
23 Aug 2018,MSQ,KBP,PS893,0:53,UR-GAT,4:00 AM,4:12 AM,5:05 AM,Landed 5:05 AM
22 Aug 2018,KBP,MSQ,PS893,0:49,UR-GAT,4:40 PM,5:27 PM,5:45 PM,Landed 6:16 PM
22 Aug 2018,ODS,KBP,PS58,0:47,UR-GAT,1:55 PM,2:06 PM,2:55 PM,Landed 2:53 PM
22 Aug 2018,IST,ODS,PS718,0:56,UR-GAT,11:15 AM,11:44 AM,12:45 PM,Landed 12:40 PM
22 Aug 2018,ODS,IST,PS717,1:09,UR-GAT,8:45 AM,8:59 AM,10:15 AM,Landed 10:08 AM
22 Aug 2018,KBP,ODS,PS57,0:49,UR-GAT,6:50 AM,7:16 AM,7:50 AM,Landed 8:05 AM
22 Aug 2018,RIX,KBP,PS188,1:12,UR-GAT,3:00 AM,3:25 AM,4:35 AM,Landed 4:37 AM
21 Aug 2018,KBP,RIX,PS187,1:22,UR-GAT,5:45 PM,5:56 PM,7:20 PM,Landed 7:18 PM
21 Aug 2018,HRK,KBP,PS26,0:48,UR-GAT,2:00 PM,2:12 PM,3:00 PM,Landed 3:00 PM
21 Aug 2018,KBP,HRK,PS25,0:48,UR-GAT,7:25 AM,7:48 AM,8:25 AM,Landed 8:36 AM
21 Aug 2018,RIX,KBP,PS188,1:13,UR-GAT,3:00 AM,3:17 AM,4:35 AM,Landed 4:30 AM
20 Aug 2018,KBP,RIX,PS187,1:13,UR-GAT,5:45 PM,5:55 PM,7:20 PM,Landed 7:08 PM
20 Aug 2018,RIX,KBP,PS188,1:18,UR-GAT,3:00 AM,3:13 AM,4:35 AM,Landed 4:31 AM
19 Aug 2018,KBP,RIX,PS187,1:28,UR-GAT,5:45 PM,6:05 PM,7:20 PM,Landed 7:33 PM
19 Aug 2018,IST,ODS,PS718,0:59,UR-GAT,11:15 AM,12:04 PM,12:45 PM,Landed 1:03 PM
19 Aug 2018,ODS,KBP,(AUI),0:44,UR-GAT,2:12 PM,2:12 PM,â€”,Landed 2:56 PM
19 Aug 2018,ODS,IST,PS717,1:18,UR-GAT,8:45 AM,9:22 AM,10:15 AM,Landed 10:39 AM
19 Aug 2018,KBP,ODS,PS57,0:51,UR-GAT,6:50 AM,7:38 AM,7:50 AM,Landed 8:30 AM
19 Aug 2018,MSQ,KBP,PS894,0:55,UR-GAT,4:00 AM,4:14 AM,5:05 AM,Landed 5:09 AM
18 Aug 2018,KBP,MSQ,PS893,0:46,UR-GAT,4:40 PM,5:05 PM,5:45 PM,Landed 5:51 PM
18 Aug 2018,HRK,KBP,PS26,0:48,UR-GAT,2:00 PM,2:11 PM,3:00 PM,Landed 2:59 PM
18 Aug 2018,KBP,HRK,PS25,0:41,UR-GAT,7:25 AM,7:34 AM,8:25 AM,Landed 8:15 AM
18 Aug 2018,RIX,KBP,PS188,1:19,UR-GAT,3:00 AM,3:42 AM,4:35 AM,Landed 5:01 AM
17 Aug 2018,KBP,RIX,PS187,1:25,UR-GAT,5:45 PM,6:04 PM,7:20 PM,Landed 7:29 PM
17 Aug 2018,OPO,KBP,PS3716,4:14,UR-GAT,11:59 AM,12:00 PM,4:25 PM,Landed 4:14 PM
17 Aug 2018,KBP,OPO,PS3715,4:31,UR-GAT,5:58 AM,5:58 AM,â€”,Landed 10:30 AM
17 Aug 2018,RIX,KBP,PS188,1:19,UR-GAT,3:00 AM,3:14 AM,4:35 AM,Landed 4:33 AM
16 Aug 2018,KBP,RIX,PS187,-,UR-GAT,5:45 PM,â€”,7:20 PM,Unknown
16 Aug 2018,VNO,KBP,PS178,1:06,UR-GAT,1:55 PM,2:06 PM,3:15 PM,Landed 3:12 PM
16 Aug 2018,KBP,VNO,PS177,1:01,UR-GAT,6:25 AM,6:44 AM,7:45 AM,Landed 7:45 AM
16 Aug 2018,MSQ,KBP,PS894,0:54,UR-GAT,4:00 AM,4:09 AM,5:05 AM,Landed 5:03 AM
15 Aug 2018,KBP,MSQ,PS893,0:46,UR-GAT,4:40 PM,4:57 PM,5:45 PM,Landed 5:43 PM
15 Aug 2018,MSQ,KBP,PS892,0:49,UR-GAT,2:20 PM,2:28 PM,3:25 PM,Landed 3:16 PM
15 Aug 2018,KBP,MSQ,PS889,0:52,UR-GAT,7:15 AM,7:48 AM,8:20 AM,Landed 8:40 AM
15 Aug 2018,RIX,KBP,PS188,1:18,UR-GAT,3:00 AM,3:10 AM,4:35 AM,Landed 4:27 AM
14 Aug 2018,KBP,RIX,PS187,-,UR-GAT,5:45 PM,â€”,7:20 PM,Unknown
14 Aug 2018,ODS,KBP,PS58,0:53,UR-GAT,1:55 PM,2:00 PM,2:55 PM,Landed 2:53 PM
14 Aug 2018,IST,ODS,PS718,1:00,UR-GAT,11:15 AM,11:31 AM,12:45 PM,Landed 12:30 PM
14 Aug 2018,ODS,IST,PS717,1:14,UR-GAT,8:45 AM,9:00 AM,10:15 AM,Landed 10:14 AM
14 Aug 2018,MSQ,KBP,PS894,0:45,UR-GAT,4:00 AM,4:09 AM,5:05 AM,Landed 4:54 AM
13 Aug 2018,KBP,MSQ,PS893,0:46,UR-GAT,4:40 PM,5:10 PM,5:45 PM,Landed 5:57 PM
13 Aug 2018,HEL,KBP,PS152,1:47,UR-GAT,1:10 PM,1:37 PM,3:15 PM,Landed 3:24 PM
13 Aug 2018,KBP,HEL,PS151,1:52,UR-GAT,6:30 AM,6:47 AM,8:40 AM,Landed 8:39 AM
13 Aug 2018,RIX,KBP,PS188,1:18,UR-GAT,3:00 AM,3:23 AM,4:35 AM,Landed 4:41 AM
12 Aug 2018,KBP,RIX,PS187,1:34,UR-GAT,5:45 PM,5:53 PM,7:20 PM,Landed 7:27 PM
12 Aug 2018,HEL,KBP,PS152,1:44,UR-GAT,11:45 AM,12:17 PM,1:50 PM,Landed 2:00 PM
12 Aug 2018,KBP,HEL,PS151,-,UR-GAT,6:30 AM,â€”,8:40 AM,Unknown
12 Aug 2018,KRK,KBP,PS926,1:09,UR-GAT,3:30 AM,3:34 AM,5:05 AM,Landed 4:43 AM
11 Aug 2018,KBP,KRK,PS925,1:16,UR-GAT,5:45 PM,6:03 PM,7:20 PM,Landed 7:20 PM
11 Aug 2018,HEL,KBP,PS152,1:48,UR-GAT,1:10 PM,1:28 PM,3:15 PM,Landed 3:16 PM
11 Aug 2018,KBP,HEL,PS151,1:46,UR-GAT,6:30 AM,6:41 AM,8:40 AM,Landed 8:27 AM
11 Aug 2018,KRK,KBP,PS926,1:25,UR-GAT,3:30 AM,3:40 AM,5:05 AM,Landed 5:05 AM
10 Aug 2018,KBP,KRK,PS925,1:20,UR-GAT,5:45 PM,6:05 PM,7:20 PM,Landed 7:25 PM
10 Aug 2018,HEL,KBP,PS152,1:44,UR-GAT,1:10 PM,1:26 PM,3:15 PM,Landed 3:10 PM
10 Aug 2018,KBP,HEL,PS151,1:48,UR-GAT,6:30 AM,6:50 AM,8:40 AM,Landed 8:38 AM
10 Aug 2018,RIX,KBP,PS188,1:18,UR-GAT,3:00 AM,3:22 AM,4:35 AM,Landed 4:40 AM
09 Aug 2018,KBP,RIX,PS187,1:30,UR-GAT,5:45 PM,6:08 PM,7:20 PM,Landed 7:39 PM
09 Aug 2018,ODS,KBP,PS58,0:47,UR-GAT,1:55 PM,2:27 PM,2:55 PM,Landed 3:15 PM
09 Aug 2018,IST,ODS,PS718,1:02,UR-GAT,11:15 AM,12:11 PM,12:45 PM,Landed 1:13 PM
09 Aug 2018,ODS,IST,PS717,1:08,UR-GAT,8:45 AM,8:58 AM,10:15 AM,Landed 10:06 AM
09 Aug 2018,KBP,ODS,PS57,0:42,UR-GAT,6:50 AM,7:07 AM,7:50 AM,Landed 7:49 AM
09 Aug 2018,KRK,KBP,PS926,1:21,UR-GAT,3:30 AM,3:37 AM,5:05 AM,Landed 4:59 AM
08 Aug 2018,KBP,KRK,PS925,1:18,UR-GAT,5:45 PM,5:57 PM,7:20 PM,Landed 7:15 PM
08 Aug 2018,ODS,KBP,PS58,0:46,UR-GAT,1:55 PM,2:00 PM,2:55 PM,Landed 2:47 PM
08 Aug 2018,IST,ODS,PS718,1:02,UR-GAT,11:15 AM,11:34 AM,12:45 PM,Landed 12:36 PM
08 Aug 2018,ODS,IST,PS717,1:11,UR-GAT,8:45 AM,9:01 AM,10:15 AM,Landed 10:13 AM
08 Aug 2018,KBP,ODS,PS57,0:49,UR-GAT,6:50 AM,7:15 AM,7:50 AM,Landed 8:04 AM
08 Aug 2018,MSQ,KBP,PS894,0:53,UR-GAT,4:00 AM,4:36 AM,5:05 AM,Landed 5:29 AM
07 Aug 2018,KBP,MSQ,PS893,0:55,UR-GAT,4:40 PM,5:21 PM,5:45 PM,Landed 6:16 PM
07 Aug 2018,HRK,KBP,PS26,0:48,UR-GAT,2:00 PM,2:04 PM,3:00 PM,Landed 2:52 PM
07 Aug 2018,KBP,HRK,PS25,0:43,UR-GAT,7:25 AM,7:42 AM,8:25 AM,Landed 8:25 AM
07 Aug 2018,MSQ,KBP,PS894,0:49,UR-GAT,4:00 AM,4:10 AM,5:05 AM,Landed 4:59 AM
06 Aug 2018,KBP,MSQ,PS893,0:46,UR-GAT,4:40 PM,4:56 PM,5:45 PM,Landed 5:42 PM
06 Aug 2018,MSQ,KBP,PS892,0:53,UR-GAT,12:15 PM,12:25 PM,1:20 PM,Landed 1:19 PM
06 Aug 2018,KBP,MSQ,PS889,0:46,UR-GAT,7:15 AM,7:42 AM,8:20 AM,Landed 8:28 AM
06 Aug 2018,RIX,KBP,PS188,1:15,UR-GAT,3:00 AM,3:18 AM,4:35 AM,Landed 4:33 AM
05 Aug 2018,KBP,RIX,PS187,1:31,UR-GAT,5:45 PM,6:00 PM,7:20 PM,Landed 7:31 PM
05 Aug 2018,HRK,KBP,PS26,0:43,UR-GAT,2:00 PM,2:23 PM,3:00 PM,Landed 3:07 PM
05 Aug 2018,KBP,HRK,PS25,0:45,UR-GAT,7:25 AM,7:36 AM,8:25 AM,Landed 8:21 AM
05 Aug 2018,MSQ,KBP,PS894,0:55,UR-GAT,4:00 AM,4:09 AM,5:05 AM,Landed 5:04 AM
04 Aug 2018,KBP,MSQ,PS893,0:47,UR-GAT,4:40 PM,5:00 PM,5:45 PM,Landed 5:47 PM
04 Aug 2018,VNO,KBP,PS178,1:02,UR-GAT,1:55 PM,2:12 PM,3:15 PM,Landed 3:14 PM
04 Aug 2018,KBP,VNO,PS177,1:02,UR-GAT,6:25 AM,6:39 AM,7:45 AM,Landed 7:41 AM
04 Aug 2018,MSQ,KBP,PS894,0:50,UR-GAT,4:00 AM,4:05 AM,5:05 AM,Landed 4:54 AM
03 Aug 2018,KBP,MSQ,PS893,0:45,UR-GAT,4:40 PM,5:06 PM,5:45 PM,Landed 5:51 PM
03 Aug 2018,MSQ,KBP,PS892,0:45,UR-GAT,12:15 PM,12:35 PM,1:20 PM,Landed 1:20 PM
03 Aug 2018,KBP,MSQ,PS889,0:50,UR-GAT,7:15 AM,7:46 AM,8:20 AM,Landed 8:35 AM
03 Aug 2018,MSQ,KBP,PS894,0:52,UR-GAT,4:00 AM,4:15 AM,5:05 AM,Landed 5:07 AM
02 Aug 2018,KBP,MSQ,PS893,0:47,UR-GAT,4:40 PM,5:15 PM,5:45 PM,Landed 6:02 PM
02 Aug 2018,MSQ,KBP,PS892,0:49,UR-GAT,1:00 PM,1:17 PM,2:05 PM,Landed 2:06 PM
02 Aug 2018,KBP,MSQ,PS889,0:43,UR-GAT,7:15 AM,7:33 AM,8:20 AM,Landed 8:16 AM
02 Aug 2018,RIX,KBP,PS188,1:20,UR-GAT,3:00 AM,3:17 AM,4:35 AM,Landed 4:37 AM
01 Aug 2018,KBP,RIX,PS187,1:15,UR-GAT,5:45 PM,6:03 PM,7:20 PM,Landed 7:19 PM
01 Aug 2018,VIE,KBP,PS844,1:34,UR-GAT,3:30 AM,4:03 AM,5:25 AM,Landed 5:37 AM
